ExhibitionName,Date,DaysRun,DaysLeft,TotalDuration,PercentComplete,Year,Season,Month,WeekDay,ArtistName,CategoryName,LocationName,MarketingSpend,TicketPrice,ExhibitionVisitors,VenueVisitors,ConversionRate
ExhibitionH,15/03/17,1,102,103,0.97,2017,Spring,3,Wednesday,ArtistC,CategoryD,LocationA,226000,18,1033,13751,0.075
ExhibitionH,16/03/17,2,101,103,1.94,2017,Spring,3,Thursday,ArtistC,CategoryD,LocationA,226000,18,1052,17525,0.060
ExhibitionH,17/03/17,3,100,103,2.91,2017,Spring,3,Friday,ArtistC,CategoryD,LocationA,226000,18,1566,31399,0.050
ExhibitionH,18/03/17,4,99,103,3.88,2017,Spring,3,Saturday,ArtistC,CategoryD,LocationA,226000,18,1479,24786,0.060
ExhibitionH,19/03/17,5,98,103,4.85,2017,Spring,3,Sunday,ArtistC,CategoryD,LocationA,226000,18,1087,15311,0.071
ExhibitionH,20/03/17,6,97,103,5.83,2017,Spring,3,Monday,ArtistC,CategoryD,LocationA,226000,18,962,16742,0.057
ExhibitionH,21/03/17,7,96,103,6.80,2017,Spring,3,Tuesday,ArtistC,CategoryD,LocationA,226000,18,1048,17022,0.062
ExhibitionH,22/03/17,8,95,103,7.77,2017,Spring,3,Wednesday,ArtistC,CategoryD,LocationA,226000,18,1089,14252,0.076
ExhibitionH,23/03/17,9,94,103,8.74,2017,Spring,3,Thursday,ArtistC,CategoryD,LocationA,226000,18,1055,12238,0.086
ExhibitionH,24/03/17,10,93,103,9.71,2017,Spring,3,Friday,ArtistC,CategoryD,LocationA,226000,18,1342,14550,0.092
ExhibitionH,25/03/17,11,92,103,10.68,2017,Spring,3,Saturday,ArtistC,CategoryD,LocationA,226000,18,1311,28022,0.047
ExhibitionH,26/03/17,12,91,103,11.65,2017,Spring,3,Sunday,ArtistC,CategoryD,LocationA,226000,18,994,14815,0.067
ExhibitionH,27/03/17,13,90,103,12.62,2017,Spring,3,Monday,ArtistC,CategoryD,LocationA,226000,18,911,13313,0.068
ExhibitionH,28/03/17,14,89,103,13.59,2017,Spring,3,Tuesday,ArtistC,CategoryD,LocationA,226000,18,815,10243,0.080
ExhibitionH,29/03/17,15,88,103,14.56,2017,Spring,3,Wednesday,ArtistC,CategoryD,LocationA,226000,18,870,17827,0.049
ExhibitionH,30/03/17,16,87,103,15.53,2017,Spring,3,Thursday,ArtistC,CategoryD,LocationA,226000,18,825,11409,0.072
ExhibitionH,31/03/17,17,86,103,16.50,2017,Spring,3,Friday,ArtistC,CategoryD,LocationA,226000,18,1236,13455,0.092
ExhibitionH,1/04/17,18,85,103,17.48,2017,Spring,4,Saturday,ArtistC,CategoryD,LocationA,226000,18,1143,13863,0.082
ExhibitionH,2/04/17,19,84,103,18.45,2017,Spring,4,Sunday,ArtistC,CategoryD,LocationA,226000,18,857,12363,0.069
ExhibitionH,3/04/17,20,83,103,19.42,2017,Spring,4,Monday,ArtistC,CategoryD,LocationA,226000,18,865,13478,0.064
ExhibitionH,4/04/17,21,82,103,20.39,2017,Spring,4,Tuesday,ArtistC,CategoryD,LocationA,226000,18,750,13191,0.057
ExhibitionH,5/04/17,22,81,103,21.36,2017,Spring,4,Wednesday,ArtistC,CategoryD,LocationA,226000,18,867,14156,0.061
ExhibitionH,6/04/17,23,80,103,22.33,2017,Spring,4,Thursday,ArtistC,CategoryD,LocationA,226000,18,746,12443,0.060
ExhibitionH,7/04/17,24,79,103,23.30,2017,Spring,4,Friday,ArtistC,CategoryD,LocationA,226000,18,1062,19954,0.053
ExhibitionH,8/04/17,25,78,103,24.27,2017,Spring,4,Saturday,ArtistC,CategoryD,LocationA,226000,18,1021,21780,0.047
ExhibitionH,9/04/17,26,77,103,25.24,2017,Spring,4,Sunday,ArtistC,CategoryD,LocationA,226000,18,786,16546,0.048
